timestamp_utc,trigger_candle_utc,setup_key,setup_hash,symbol,name,group,playbook,price,real_entry,target,stop,rr,score,regime_score,setup_score,trigger_score,atr,adx,rsi,rs20,extension_pct,reasons,warnings,blocked,status,bars_open,days_open,current_price,pnl_pct,mfe_pct,mae_pct,exit_date,exit_price,exit_reason,closed_utc,year,month,vol_ratio,pullback_atr,trend_quality,confluence_count,adx_at_entry,vix_proxy
2023-07-19T00:00:00-04:00,2023-07-19T00:00:00-04:00,AAPL|breakout|2023-07-19T00:00:00-04:00|192.40|201.20|188.16,dec2ef6c6819b7a5a24fb596f454b9d704332ce18444085d28fde12fd59d3203,AAPL,Apple Inc.,Tech,breakout,191.4165,191.4165,201.2000,188.1600,2.0700,9.3200,4.6200,2.0000,3.2000,2.8300,42.6900,70.1500,1.3300,19.0300,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=184.10) | Direccionalidad valida (ADX 42.7, quality=0.76) | RSI fuerte de tendencia (70.2) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +1.33%",Lejos de EMA20 para pullback (1.89 ATR) | Confluencia baja (2/5 senales) — penalty 0.5,,hit_stop,10,10,188.1600,-1.7013,1.5971,-1.7568,2023-08-03,188.1600,stop_hit,2026-07-10T02:45:09.003811+00:00,2023,7,1.5600,1.8900,0.7600,2,42.6900,13.7600
2024-12-20T00:00:00-05:00,2024-12-20T00:00:00-05:00,AAPL|breakout|2024-12-20T00:00:00-05:00|252.87|274.17|246.49,d4a192ecc25311ee72b6367e20b4b441f6b620b90c0558357e4fcec91d751af9,AAPL,Apple Inc.,Tech,breakout,253.8680,253.8680,274.1700,246.4900,3.3400,10.2400,4.6400,2.0000,3.6000,4.2500,41.1600,72.3300,11.4500,17.6000,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=239.59) | Direccionalidad valida (ADX 41.2, quality=0.77) | RSI fuerte de tendencia (72.3) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +11.45%",Lejos de EMA20 para pullback (2.35 ATR),,hit_stop,6,6,246.4900,-2.9062,1.8044,-5.3505,2025-01-02,246.4900,stop_hit,2026-07-10T02:45:09.119886+00:00,2024,12,2.9300,2.3500,0.7700,3,41.1600,18.3600
2025-10-20T00:00:00-04:00,2025-10-20T00:00:00-04:00,AAPL|breakout|2025-10-20T00:00:00-04:00|261.50|274.55|251.06,c31726ab17b265547111769ba95da24373c13da8f7c0e4c57473f19899f5d5fb,AAPL,Apple Inc.,Tech,breakout,261.9091,261.9091,274.5500,251.0600,1.2500,9.1300,4.4300,2.0000,3.2000,5.3500,25.9400,66.3300,1.7400,16.6900,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=244.25) | Direccionalidad valida (ADX 25.9, quality=0.67) | RSI fuerte de tendencia (66.3) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +1.74%",Lejos de EMA20 para pullback (2.11 ATR) | Confluencia baja (2/5 senales) — penalty 0.5,,hit_target,8,8,274.5500,4.8265,5.5854,-2.7489,2025-10-31,274.5500,target_hit,2026-07-10T02:45:09.185501+00:00,2025,10,1.9600,2.1100,0.6700,2,25.9400,18.2300
2025-10-30T00:00:00-04:00,2025-10-30T00:00:00-04:00,AAPL|breakout|2025-10-30T00:00:00-04:00|270.63|291.13|263.15,bb61be1747bda9c25417e3ff7ce5f03d271ef2b63e0d4417e5917c6fe955265f,AAPL,Apple Inc.,Tech,breakout,269.6571,269.6571,291.1300,263.1500,2.7400,9.1500,4.5000,2.0000,3.1500,4.9900,27.4200,71.0900,3.9600,19.1100,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=255.55) | Direccionalidad valida (ADX 27.4, quality=0.70) | RSI fuerte de tendencia (71.1) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +3.96%",Lejos de EMA20 para pullback (2.41 ATR) | Confluencia baja (2/5 senales) — penalty 0.5,,expired,15,15,270.9900,0.4930,2.4215,-1.7909,,270.9900,time_stop_15_bars,2026-07-10T02:45:09.187348+00:00,2025,10,1.5200,2.4100,0.7000,2,27.4200,16.9100
2026-02-04T00:00:00-05:00,2026-02-04T00:00:00-05:00,AAPL|breakout|2026-02-04T00:00:00-05:00|275.98|297.28|266.91,d37ed984a87d92c04862f323b1e6edb3f7be4e07f9dfc68fa619bbe9ead51e17,AAPL,Apple Inc.,Tech,breakout,276.6061,276.6061,297.2800,266.9100,2.3500,8.3800,4.3800,1.1000,2.9000,6.0500,25.6000,68.1400,6.2000,11.9900,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=255.79) | Direccionalidad valida (ADX 25.6, quality=0.64) | RSI fuerte de tendencia (68.1) | Precio sostiene EMA50 | RS positiva vs SPY: +6.20%","Lejos de EMA20 para pullback (2.37 ATR) | Breakout extendido sin vol suficiente (2.37 ATR, vol=1.60x < 1.8x requerido, VIX=18.639999389648438) | Setup penalty: zona de bajo edge (ext=2.37 ATR, vol insuficiente)",,hit_stop,5,5,266.9100,-3.5054,1.3676,-6.0250,2026-02-12,266.9100,stop_hit,2026-07-10T02:45:09.207237+00:00,2026,2,1.6000,2.3700,0.6400,3,25.6000,18.6400
2023-07-18T00:00:00-04:00,2023-07-18T00:00:00-04:00,MSFT|breakout|2023-07-18T00:00:00-04:00|351.18|369.11|339.46,0b5d316715a992f9b49dfa805137182caefa1acd57929f1e8052ded6628f2eda,MSFT,Microsoft Corp.,Tech,breakout,345.3975,345.3975,369.1100,339.4600,1.5300,9.6400,4.5800,1.4600,3.6000,7.8200,25.9700,70.3700,1.6600,24.5200,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=321.19) | Direccionalidad valida (ADX 26.0, quality=0.74) | RSI fuerte de tendencia (70.4) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +1.66%",Extension alta: 24.5% sobre EMA200 (penalty=0.54) | Lejos de EMA20 para pullback (2.51 ATR),,hit_stop,1,1,339.4600,-1.7190,1.2444,-2.3192,2023-07-20,339.4600,stop_hit,2026-07-10T02:45:09.900503+00:00,2023,7,2.5300,2.5100,0.7400,3,25.9700,13.3000
2023-11-20T00:00:00-05:00,2023-11-20T00:00:00-05:00,MSFT|breakout|2023-11-20T00:00:00-05:00|370.25|408.96|360.08,e0ff65c4e8843b65aac307e7ce36e9dc767425ba750a9719cea829482bd99858,MSFT,Microsoft Corp.,Tech,breakout,370.7957,370.7957,408.9600,360.0800,3.8100,8.9500,4.6500,2.0000,2.8000,6.7700,36.1300,71.5700,6.8100,19.6300,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=347.44) | Direccionalidad valida (ADX 36.1, quality=0.77) | RSI fuerte de tendencia (71.6) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +6.81%",Lejos de EMA20 para pullback (2.90 ATR) | Confluencia baja (2/5 senales) — penalty 0.5,,hit_stop,8,8,360.0800,-2.8899,1.6666,-3.9947,2023-12-04,360.0800,stop_hit,2026-07-10T02:45:09.927886+00:00,2023,11,1.7600,2.9000,0.7700,2,36.1300,13.4100
2025-05-01T00:00:00-04:00,2025-05-01T00:00:00-04:00,MSFT|breakout|2025-05-01T00:00:00-04:00|421.26|461.95|388.70,f14c5de2d58b57a8a6eab1183e95f450651119fbbbc8c1ea05c683da866154a2,MSFT,Microsoft Corp.,Tech,breakout,428.6529,428.6529,461.9500,388.7000,1.2500,6.5100,2.7600,0.6500,3.6000,13.6400,18.3100,69.2700,12.3900,5.1200,"Precio > EMA200 | Supertrend alcista (ST=383.72) | Direccionalidad valida (ADX 18.3, quality=0.68) | Precio sostiene EMA50 | RS positiva vs SPY: +12.39% | Ruptura de máximo reciente | MACD histograma acelerando > 0 | Volumen de confirmacion (2.01x)",EMA200 sin pendiente positiva | Lejos de EMA20 para pullback (2.80 ATR) | RSI fuera de zona ideal (69.3),,expired,15,15,446.6100,4.1898,6.5204,-0.4066,,446.6100,time_stop_15_bars,2026-07-10T02:45:10.043636+00:00,2025,5,2.0100,2.8000,0.6800,3,18.3100,24.6000
2026-05-29T00:00:00-04:00,2026-05-29T00:00:00-04:00,MSFT|breakout|2026-05-29T00:00:00-04:00|450.24|480.58|425.97,bc3d063c05468756351aa11f45e771826cf03eebe8ec1d372869ea209a14032e,MSFT,Microsoft Corp.,Tech,breakout,446.8800,446.8800,480.5800,425.9700,1.2500,7.4600,2.8100,1.0500,3.6000,11.7400,18.8900,70.0900,5.3900,3.5100,"Precio > EMA200 | Supertrend alcista (ST=404.94) | Direccionalidad valida (ADX 18.9, quality=0.70) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +5.39% | Ruptura de máximo reciente | MACD histograma acelerando > 0 | Volumen de confirmacion (2.28x)",EMA200 sin pendiente positiva | Lejos de EMA20 para pullback (2.68 ATR) | RSI fuera de zona ideal (70.1),,hit_stop,2,2,425.9700,-4.6791,1.4814,-5.0640,2026-06-03,425.9700,stop_hit,2026-07-10T02:45:10.129436+00:00,2026,5,2.2800,2.6800,0.7000,3,18.8900,15.3200
2023-08-04T00:00:00-04:00,2023-08-04T00:00:00-04:00,AMZN|breakout|2023-08-04T00:00:00-04:00|139.57|148.22|132.65,6037c0f9eeb7441d6f54f870d152d189d4eeda40c286550d9399112680a0d749,AMZN,Amazon.com Inc.,Tech,breakout,140.6200,140.6200,148.2200,132.6500,1.2500,10.6000,4.4300,2.0700,3.6000,4.0600,19.8300,65.4600,5.6600,22.7000,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=128.23) | Direccionalidad valida (ADX 19.8, quality=0.66) | RSI en zona ideal (65.5) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +5.66%",Extension alta: 22.7% sobre EMA200 (penalty=0.48) | Lejos de EMA20 para pullback (2.13 ATR),,hit_stop,9,9,132.6500,-5.6678,0.4694,-6.7345,2023-08-18,132.6500,stop_hit,2026-07-10T02:45:11.676953+00:00,2023,8,2.4600,2.1300,0.6600,4,19.8300,17.1000
2025-06-27T00:00:00-04:00,2025-06-27T00:00:00-04:00,AMZN|breakout|2025-06-27T00:00:00-04:00|223.30|235.83|215.50,bb2bbf07aff9d905b6c9719ba16717e85b3fdcd1fb0b79f16b33e0329a218f06,AMZN,Amazon.com Inc.,Tech,breakout,219.5000,219.5000,235.8300,215.5000,1.6100,10.0400,4.4400,2.0000,3.6000,5.2000,21.4100,67.8800,4.0300,11.4600,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=204.68) | Direccionalidad valida (ADX 21.4, quality=0.67) | RSI fuerte de tendencia (67.9) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +4.03%",Lejos de EMA20 para pullback (2.20 ATR),,expired,15,15,227.4700,3.6310,4.7836,-0.7153,,227.4700,time_stop_15_bars,2026-07-10T02:45:11.829870+00:00,2025,6,2.7600,2.2000,0.6700,3,21.4100,16.3200
2024-03-18T00:00:00-04:00,2024-03-18T00:00:00-04:00,GOOGL|breakout|2024-03-18T00:00:00-04:00|146.38|157.04|140.83,223032837d24b1075e675ec3b16ad856fad09d1a238288b39d807745118cc9ab,GOOGL,Alphabet Inc.,Tech,breakout,146.6992,146.6992,157.0400,140.8300,1.9200,10.1900,4.4400,2.1500,3.6000,3.7000,21.1200,62.7700,2.1000,11.5000,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=136.53) | Direccionalidad valida (ADX 21.1, quality=0.67) | RSI en zona ideal (62.8) | Precio sostiene EMA50 | RS positiva vs SPY: +2.10%",Lejos de EMA20 para pullback (2.07 ATR),,hit_target,14,14,157.0400,7.0490,7.1351,-0.8513,2024-04-09,157.0400,target_hit,2026-07-10T02:45:12.593441+00:00,2024,3,1.8600,2.0700,0.6700,3,21.1200,14.3300
2025-07-24T00:00:00-04:00,2025-07-24T00:00:00-04:00,GOOGL|breakout|2025-07-24T00:00:00-04:00|191.62|210.31|185.03,bf69fad406ea7e584564afa9ddc8f2c496694052c3c3b07cc8382349cf8f14f6,GOOGL,Alphabet Inc.,Tech,breakout,193.0991,193.0991,210.3100,185.0300,2.8300,9.2800,4.6300,2.0000,3.1500,4.4000,27.2300,72.5500,8.0900,12.5000,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=180.75) | Direccionalidad valida (ADX 27.2, quality=0.77) | RSI fuerte de tendencia (72.5) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +8.09%",Lejos de EMA20 para pullback (2.20 ATR) | Confluencia baja (2/5 senales) — penalty 0.5,,expired,15,15,203.3200,5.2930,6.6047,-3.0106,,203.3200,time_stop_15_bars,2026-07-10T02:45:12.701443+00:00,2025,7,1.7400,2.2000,0.7700,2,27.2300,15.3900
2025-01-30T00:00:00-05:00,2025-01-30T00:00:00-05:00,META|breakout|2025-01-30T00:00:00-05:00|683.62|757.30|653.71,6360857e13b417dba1bd7a0123fffa9abc65aa201903b0e8459c80bf8fda8a7b,META,Meta Platforms,Tech,breakout,672.5855,672.5855,757.3000,653.7100,2.4600,9.7600,4.8200,1.3400,3.6000,19.9400,36.4300,74.1400,13.3400,26.7500,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=627.08) | Direccionalidad valida (ADX 36.4, quality=0.86) | RSI fuerte de tendencia (74.1) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +13.34%",Extension alta: 26.8% sobre EMA200 (penalty=0.66) | Lejos de EMA20 para pullback (2.58 ATR),,expired,15,15,664.8400,-1.1510,9.6167,-1.9914,,664.8400,time_stop_15_bars,2026-07-10T02:45:13.533502+00:00,2025,1,1.9300,2.5800,0.8600,3,36.4300,15.8400
2025-07-31T00:00:00-04:00,2025-07-31T00:00:00-04:00,META|breakout|2025-07-31T00:00:00-04:00|770.91|838.96|716.47,3f5c42f9f59b2b6a4328fee1990978f773121db9c35ced700a6961b8d2d3669f,META,Meta Platforms,Tech,breakout,757.5172,757.5172,838.9600,716.4700,1.2500,9.2400,5.1100,0.5300,4.2000,19.6600,19.4100,69.6800,6.5200,24.0100,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend: cruce alcista reciente (ST=707.58) | Direccionalidad valida (ADX 19.4, quality=0.70) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +6.52% | Ruptura de máximo reciente","Extension alta: 24.0% sobre EMA200 (penalty=0.52) | Lejos de EMA20 para pullback (2.98 ATR) | RSI fuera de zona ideal (69.7) | Confluencia maxima (5/5) — posible chasing, penalizacion aplicada",,expired,15,15,752.3200,-0.6855,4.7697,-3.8158,,752.3200,time_stop_15_bars,2026-07-10T02:45:13.573175+00:00,2025,7,3.1000,2.9800,0.7000,5,19.4100,16.7200
2023-11-10T00:00:00-05:00,2023-11-10T00:00:00-05:00,AVGO|breakout|2023-11-10T00:00:00-05:00|92.86|100.97|89.31,eecda3b79434208f8bbad4087ad0bcb42353e0c69afdc33bc9555a6ce3bedfd8,AVGO,Broadcom Inc.,Tech,breakout,93.3301,93.3301,100.9700,89.3100,2.2800,10.3800,5.1700,0.5100,4.2000,2.3700,19.8700,71.9300,6.3100,24.5800,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend: cruce alcista reciente (ST=83.87) | Direccionalidad valida (ADX 19.9, quality=0.73) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +6.31% | Ruptura de máximo reciente",Extension alta: 24.6% sobre EMA200 (penalty=0.54) | Lejos de EMA20 para pullback (3.15 ATR) | RSI fuera de zona ideal (71.9),,hit_stop,12,12,89.3100,-4.3074,3.8999,-4.5691,2023-11-30,89.3100,stop_hit,2026-07-10T02:45:14.310549+00:00,2023,11,1.7000,3.1500,0.7300,4,19.8700,14.1700
2023-12-07T00:00:00-05:00,2023-12-07T00:00:00-05:00,AMD|breakout|2023-12-07T00:00:00-05:00|128.37|138.01|121.89,f5dd32dee3d9aba21bdca50ac455a7914797716841478088350cf0673146aa7c,AMD,Advanced Micro Devices,Tech,breakout,130.5600,130.5600,138.0100,121.8900,1.4900,9.1700,4.4800,1.4900,3.2000,4.3200,29.3000,67.8200,8.2100,23.6400,"Precio > EMA200 | EMA50 > EMA200 | EMA200 con pendiente positiva consistente | Supertrend alcista (ST=114.40) | Direccionalidad valida (ADX 29.3, quality=0.69) | RSI fuerte de tendencia (67.8) | EMA20 > EMA50 con pendiente positiva | RS positiva vs SPY: +8.21%",Extension alta: 23.6% sobre EMA200 (penalty=0.51) | Lejos de EMA20 para pullback (2.19 ATR),,hit_target,2,2,138.0100,5.7062,7.1461,-1.7693,2023-12-12,138.0100,target_hit,2026-07-10T02:45:15.168090+00:00,2023,12,2.3900,2.1900,0.6900,3,29.3000,13.0600
2025-05-14T00:00:00-04:00,2025-05-14T00:00:00-04:00,AMD|breakout|2025-05-14T00:00:00-04:00|117.72|139.75|109.66,44f62b79c5c7ae1dde6837884a69b1fbf6618f52a0251ea87e75f6599bb90bc2,AMD,Advanced Micro Devices,Tech,breakout,118.0700,118.0700,139.7500,109.6600,2.7400,6.1500,1.9000,0.6500,3.6000,5.3700,19.7300,72.6700,14.2400,-2.6700,"Supertrend alcista (ST=103.37) | Direccionalidad valida (ADX 19.7, quality=0.75) | Precio sostiene EMA50 | RS positiva vs SPY: +14.24% | Ruptura de máximo reciente | MACD histograma acelerando > 0 | Volumen de confirmacion (1.99x) | Playbook: Breakout Expansion",EMA200 sin pendiente positiva | Lejos de EMA20 para pullback (3.03 ATR) | RSI fuera de zona ideal (72.7),,hit_stop,6,6,109.6600,-7.1229,0.1440,-8.8083,2025-05-23,109.6600,stop_hit,2026-07-10T02:45:15.282931+00:00,2025,5,1.9900,3.0300,0.7500,3,19.7300,18.6200
